sequence_num,latency_ms
0,4.49
1,4.22
2,4.84
3,4.4
4,4.99
5,4.67
6,4.37
7,4.36
8,4.65
9,4.41
10,4.23
11,4.41
12,3.91
13,4.32
14,4.44
15,4.53
16,4.33
17,4.65
18,4.42
19,5.04
20,4.32
21,4.32
22,4.1
23,4.45
24,4.8
25,4.4
26,4.04
27,4.77
28,4.39
29,4.17
30,4.07
31,4.68
32,3.8
33,4.27
34,5.02
35,4.41
36,5.0
37,4.25
38,4.11
39,4.35
40,4.86
41,3.93
42,4.26
43,4.41
44,4.49
45,4.92
46,4.11
47,4.4
48,3.92
49,4.6
50,4.93
51,4.2
52,4.35
53,4.73
54,5.31
55,4.88
56,4.45
57,4.35
58,4.44
59,4.79
60,4.38
61,4.18
62,4.49
63,4.66
64,5.2
65,4.64
66,4.22
67,4.74
68,4.61
69,4.14
70,4.88
71,4.47
72,4.17
73,4.83
74,5.1
75,4.1
76,4.37
77,4.61
78,4.69
79,5.01
80,4.39
81,4.1
82,4.94
83,13.59
84,8.26
85,4.39
86,4.56
87,4.97
88,4.84
89,4.43
90,5.16
91,5.5
92,4.86
93,4.89
94,4.54
95,4.73
96,4.95
97,4.21
98,4.53
99,3.99
100,4.91
101,4.24
102,4.09
103,4.28
104,5.25
105,4.37
106,4.93
107,5.33
108,4.9
109,4.15
110,4.22
111,4.34
112,4.84
113,4.29
114,4.9
115,4.31
116,4.81
117,4.23
118,4.97
119,4.5
120,4.83
121,4.32
122,4.15
123,4.31
124,4.86
125,4.19
126,4.47
127,4.5
128,4.82
129,4.05
130,4.3
131,4.01
132,3.84
133,4.22
134,4.94
135,4.44
136,4.09
137,4.74
138,4.38
139,4.12
140,4.91
141,3.98
142,4.39
143,4.17
144,5.06
145,4.81
146,4.34
147,4.04
148,4.85
149,4.4
150,4.07
151,4.83
152,4.45
153,4.19
154,4.93
155,3.82
156,4.39
157,4.18
158,4.18
159,4.83
160,3.84
161,4.18
162,4.87
163,4.38
164,4.11
165,4.02
166,4.05
167,4.36
168,4.17
169,4.09
170,3.97
171,4.3
172,4.03
173,4.64
174,4.37
175,4.06
176,4.84
177,4.49
178,4.17
179,4.89
180,4.58
181,4.3
182,5.07
183,4.62
184,4.46
185,4.26
186,4.06
187,4.82
188,4.53
189,4.34
190,4.03
191,4.87
192,4.49
193,4.33
194,4.11
195,4.01
196,4.57
197,4.4
198,4.21
199,4.08
200,4.09
201,4.42
202,4.23
203,3.99
204,4.78
205,4.07
206,4.43
207,4.26
208,4.15
209,4.8
210,3.81
211,4.15
212,4.81
213,4.44
214,4.06
215,4.62
216,4.32
217,5.02
218,4.6
219,4.32
220,4.05
221,4.73
222,4.33
223,5.01
224,4.62
225,4.3
226,4.94
227,3.84
228,4.16
229,4.86
230,4.45
231,4.16
232,4.77
233,3.82
234,4.13
235,4.83
236,4.53
237,4.23
238,3.98
239,3.73
240,4.25
241,4.17
242,4.18
243,4.61
244,4.42
245,4.23
246,5.03
247,4.84
248,3.98
249,4.45
250,4.22
251,4.95
252,4.73
253,4.51
254,4.31
255,4.11
256,4.89
257,4.72
258,4.57
259,4.36
260,4.16
261,4.07
262,4.75
263,3.89
264,4.38
265,4.11
266,4.8
267,4.56
268,4.26
269,4.09
270,4.51
271,3.94
272,4.41
273,4.24
274,4.1
275,4.9
276,4.03
277,4.39
278,4.17
279,4.83
280,4.15
281,3.84
282,4.34
283,4.16
284,4.13
285,4.77
