timestamp_s,exec_time_ms
0.0045,0.04
0.0146,0.04
0.0251,0.04
0.0355,0.04
0.046,0.04
0.056,0.04
0.0666,0.04
0.0768,0.04
0.087,0.04
0.0974,0.04
0.1075,0.04
0.1179,0.04
0.1286,0.03
0.1388,0.04
0.1491,0.04
0.1598,0.04
0.1698,0.04
0.18,0.04
0.1904,0.04
0.201,0.04
0.211,0.04
0.2216,0.04
0.2323,0.04
0.2428,0.04
0.2535,0.04
0.2635,0.04
0.2736,0.04
0.2839,0.04
0.2943,0.04
0.3047,0.04
0.3148,0.04
0.325,0.04
0.3354,0.03
0.3455,0.04
0.3568,0.04
0.3666,0.04
0.3771,0.04
0.3877,0.04
0.3989,0.27
0.4086,0.04
0.4189,0.04
0.4296,0.03
0.4399,0.04
0.4505,0.04
0.461,0.04
0.472,0.04
0.4828,0.04
0.4935,0.04
0.5043,0.04
0.5151,0.04
0.5265,0.04
0.5369,0.04
0.5477,0.04
0.5586,0.04
0.569,0.04
0.5792,0.04
0.5898,0.04
0.6004,0.04
0.6109,0.04
0.6215,0.04
0.6319,0.04
0.6423,0.04
0.653,0.04
0.6636,0.04
0.6742,0.04
0.6843,0.04
0.6946,0.04
0.705,0.04
0.7154,0.04
0.7256,0.04
0.7359,0.04
0.7463,0.04
0.7568,0.04
0.7671,0.04
0.7781,0.04
0.7888,0.04
0.7998,0.04
0.8102,0.04
0.8211,0.04
0.832,0.04
0.8427,0.04
0.8539,0.04
0.8641,0.04
0.8847,0.03
0.889,0.04
0.8957,0.04
0.906,0.04
0.9169,0.04
0.9287,0.04
0.9395,0.03
0.9507,0.04
0.961,0.04
0.9717,0.04
0.9827,0.04
0.9924,0.04
1.003,0.04
1.0141,0.04
1.0246,0.04
1.0354,0.04
1.0464,0.26
1.0571,0.04
1.0677,0.04
1.079,0.31
1.09,0.04
1.1002,0.04
1.1105,0.04
1.1216,0.04
1.1321,0.04
1.1426,0.04
1.1528,0.04
1.1635,0.03
1.1739,0.04
1.1842,0.04
1.1947,0.04
1.2051,0.04
1.2159,0.04
1.2262,0.04
1.2366,0.04
1.2475,0.04
1.2577,0.04
1.2681,0.04
1.2786,0.04
1.29,0.29
1.2998,0.04
1.3102,0.04
1.3208,0.04
1.3314,0.04
1.3422,0.04
1.3531,0.04
1.3639,0.04
1.3746,0.04
1.3848,0.04
1.3959,0.26
1.4056,0.04
1.4158,0.04
1.4263,0.04
1.4365,0.04
1.4477,0.04
1.4572,0.04
1.4677,0.04
1.4788,0.04
1.4884,0.03
1.4985,0.04
1.5086,0.04
1.519,0.04
1.5298,0.04
1.5395,0.04
1.5496,0.04
1.5608,0.04
1.5703,0.04
1.5805,0.04
1.5908,0.04
1.6013,0.04
1.6115,0.04
1.6219,0.04
1.6324,0.28
1.6424,0.04
1.6526,0.04
1.6628,0.04
1.673,0.04
1.6834,0.25
1.6936,0.04
1.7039,0.04
1.7145,0.04
1.7245,0.04
1.7348,0.04
1.745,0.04
1.7555,0.04
1.7658,0.04
1.7758,0.04
1.7864,0.29
1.7963,0.04
1.8067,0.04
1.8177,0.04
1.8274,0.04
1.8375,0.04
1.848,0.04
1.8583,0.04
1.8685,0.04
1.8789,0.04
1.889,0.04
1.8995,0.04
1.9099,0.04
1.92,0.04
1.9304,0.04
1.9404,0.04
1.9507,0.04
1.9611,0.04
1.9713,0.04
1.9815,0.04
1.9918,0.04
2.002,0.04
2.0123,0.04
2.0224,0.04
2.0326,0.04
2.0428,0.04
2.0533,0.04
2.0633,0.04
2.0735,0.04
2.0837,0.04
2.0944,0.32
2.1044,0.04
2.1146,0.04
2.1246,0.04
2.135,0.04
2.145,0.04
2.1553,0.04
2.1656,0.04
2.1757,0.04
2.186,0.04
2.1963,0.29
2.2064,0.04
2.2169,0.04
2.2273,0.04
2.2377,0.04
2.248,0.04
2.2585,0.04
2.269,0.04
2.2791,0.04
2.2894,0.04
2.2996,0.04
2.31,0.04
2.3203,0.04
2.3309,0.04
2.341,0.04
2.3516,0.04
2.3619,0.04
2.3723,0.25
2.3826,0.04
2.3928,0.04
2.4034,0.04
2.4137,0.04
2.4241,0.04
2.4344,0.29
2.4446,0.04
2.455,0.04
2.4652,0.04
2.4755,0.04
2.4857,0.04
2.4964,0.3
2.5065,0.04
2.5168,0.04
2.5274,0.29
2.537,0.04
2.5475,0.04
2.5575,0.04
2.5679,0.04
2.5779,0.04
2.5884,0.31
2.5983,0.04
2.6085,0.04
2.6189,0.04
2.629,0.04
2.6393,0.04
2.6493,0.04
2.6595,0.04
2.67,0.04
2.6801,0.04
2.6903,0.04
2.7004,0.04
2.7105,0.04
2.7208,0.04
2.731,0.04
2.7413,0.27
2.7514,0.04
2.7615,0.04
2.772,0.04
2.7823,0.04
2.7925,0.04
2.8026,0.04
2.813,0.04
2.8235,0.03
2.8335,0.04
2.8436,0.04
2.8538,0.04
2.8639,0.04
2.874,0.04
2.8843,0.04
2.8947,0.04
2.9051,0.04
2.9149,0.04
2.9255,0.3
2.9354,0.04
2.9456,0.04
2.9559,0.04
2.9661,0.04
2.9765,0.3
2.9864,0.04
2.9967,0.04
3.0067,0.04
3.017,0.04
3.0273,0.04
3.0375,0.04
3.0477,0.04
3.058,0.04
3.0685,0.31
3.0785,0.04
3.0888,0.04
3.0991,0.04
3.1094,0.04
3.1196,0.04
3.1301,0.04
3.1403,0.04
3.1506,0.04
3.1608,0.04
3.1711,0.04
3.1815,0.04
3.1918,0.04
3.2018,0.04
3.2124,0.04
3.2224,0.04
3.2336,0.04
3.2435,0.04
3.2537,0.04
3.264,0.04
3.2743,0.04
3.2847,0.04
3.2951,0.04
3.3054,0.04
3.3158,0.04
3.3261,0.04
3.3363,0.04
3.3465,0.04
3.357,0.04
3.3674,0.04
3.3775,0.04
3.3878,0.04
3.3979,0.04
3.4084,0.03
3.4183,0.04
3.4287,0.04
3.4388,0.04
3.4491,0.04
3.4594,0.04
3.4694,0.04
3.4797,0.04
3.4898,0.04
3.5004,0.03
3.5104,0.04
3.5208,0.04
3.5307,0.04
3.5409,0.04
3.5515,0.03
3.5614,0.04
3.5718,0.04
3.582,0.04
3.5923,0.04
3.6025,0.04
3.6126,0.04
3.6229,0.04
3.633,0.04
3.6431,0.04
3.6535,0.04
3.6636,0.04
3.6738,0.04
3.6839,0.04
3.694,0.04
3.7043,0.04
3.7145,0.04
3.7247,0.04
3.7351,0.04
3.7452,0.04
3.7553,0.04
3.7655,0.04
3.7757,0.04
3.786,0.04
3.7961,0.04
3.8063,0.04
3.8164,0.04
3.8266,0.04
3.8368,0.04
3.847,0.04
3.8575,0.04
3.8676,0.04
3.8778,0.04
3.8879,0.04
3.8981,0.04
3.9085,0.04
3.9186,0.04
3.9288,0.04
3.939,0.04
3.949,0.04
3.9595,0.04
3.9697,0.04
3.9798,0.04
3.9899,0.04
4.0,0.04
4.0104,0.04
4.0207,0.04
4.0307,0.04
4.0409,0.04
4.0512,0.04
4.0614,0.04
4.0716,0.04
4.0817,0.04
4.0921,0.04
4.1024,0.04
4.1126,0.04
4.1228,0.04
4.1337,0.04
4.143,0.04
4.1537,0.04
4.1638,0.04
4.174,0.04
4.1843,0.04
4.1947,0.04
4.2056,0.04
